item_id,english,google_amharic,google_oromo,google_collection_date,google_interface,notes
MDE_PG_001,Your student’s participation in statewide assessments is important as it allows your school and district to ensure all students have access to a high-quality education.,,,,Google Translate web,
MDE_PG_002,"In the past, students with disabilities and English learners were often excluded from statewide assessments.",,,,Google Translate web,
MDE_PG_003,"When all students participate in statewide assessments, schools and educators have more information to see how all students are doing.",,,,Google Translate web,
MDE_PG_004,"This helps schools continuously improve the education they provide and identify groups, grades, or subjects that may need additional support.",,,,Google Translate web,
MDE_PG_005,Statewide assessments are based on the Minnesota Academic Standards or the WIDA English Language Development Standards.,,,,Google Translate web,
MDE_PG_006,These standards define the knowledge and skills students should be learning in K-12 districts and charter schools.,,,,Google Translate web,
MDE_PG_007,Statewide assessments give educators and leaders an opportunity to evaluate student and school success.,,,,Google Translate web,
MDE_PG_008,"MCA and the alternate assessments are annual assessments in reading, mathematics, and science.",,,,Google Translate web,
MDE_PG_009,The WIDA ACCESS and WIDA Alternate ACCESS are the annual assessments for English learners.,,,,Google Translate web,
MDE_WAA_001,The WIDA Alternate ACCESS is a test for English learners with the most significant cognitive disabilities.,,,,Google Translate web,
MDE_WAA_002,"It measures how students are developing their English skills in listening, reading, speaking, and writing.",,,,Google Translate web,
MDE_WAA_003,English learners enrolled in grades K–12 in Minnesota public schools who have Individualized Educational Programs and meet specific eligibility requirements take the WIDA Alternate ACCESS.,,,,Google Translate web,
MDE_WAA_004,The WIDA Alternate ACCESS allows students to show how their English skills are developing at school.,,,,Google Translate web,
MDE_WAA_005,Teachers use the results to understand how to support each student’s language growth.,,,,Google Translate web,
MDE_WAA_006,The results also help show when a student has reached a high enough level of English proficiency to no longer need EL support services.,,,,Google Translate web,
MDE_WAA_007,Families can use the results to understand how their student is progressing and how to support them at home.,,,,Google Translate web,
MDE_WAA_008,Students take the WIDA Alternate ACCESS every year until they reach a high enough level of English proficiency to no longer need EL support services.,,,,Google Translate web,
MDE_WAA_009,The test is usually given between late January and late March.,,,,Google Translate web,
MDE_WAA_010,The WIDA Alternate ACCESS is a paper test.,,,,Google Translate web,
MDE_WAA_011,Students will take the WIDA Alternate ACCESS individually with a teacher.,,,,Google Translate web,
SOS_REG_001,"To vote in Minnesota, you must be a U.S. citizen, at least 18 years old on Election Day, and a resident of Minnesota for at least 20 days.",,,,Google Translate web,
SOS_REG_002,"You can pre-register if you are 16 or 17 years old, but you must be 18 before you vote.",,,,Google Translate web,
SOS_REG_003,Your criminal record does not affect your right to vote in Minnesota unless you are currently incarcerated for a felony conviction.,,,,Google Translate web,
SOS_REG_004,"As long as a judge did not restrict your right to vote through court order, you have the right to vote while under guardianship.",,,,Google Translate web,
SOS_REG_005,You must be registered to vote at your current address.,,,,Google Translate web,
SOS_REG_006,You can also register at your polling place on Election Day. You must show proof of your name and current address.,,,,Google Translate web,
SOS_REG_007,"You must re-register each time you change address, change names, or do not vote at least once during a four-year period.",,,,Google Translate web,
SOS_REG_008,"To register at your polling place on Election Day, bring one proof of residence.",,,,Google Translate web,
SOS_REG_009,"A valid Minnesota driver’s license, learner’s permit or ID, or a receipt for any of these, can be used as proof.",,,,Google Translate web,
SOS_REG_010,"A tribal ID with name, address, photo and signature can be used.",,,,Google Translate web,
SOS_REG_011,Approved photo ID can be expired.,,,,Google Translate web,
SOS_REG_012,A U.S. Passport is an approved photo ID.,,,,Google Translate web,
SOS_REG_013,"A bill, account or start-of-service statement due or dated within 30 days of the election can be used as an approved document.",,,,Google Translate web,
SOS_REG_014,A residential lease or rent agreement valid through Election Day can be used as an approved document.,,,,Google Translate web,
SOS_REG_015,A registered voter from your precinct can sign an oath confirming your address. A registered voter can vouch for up to eight voters.,,,,Google Translate web,
SOS_REG_016,"If you are on the student housing list, show a college photo ID to complete your registration.",,,,Google Translate web,
SOS_REG_017,"If you are registered in the precinct but changed names or moved within the same precinct, you only need to tell the election judge your previous name or address.",,,,Google Translate web,
SOS_REG_018,"If you registered to vote within 20 days of the election, you may get a Notice of Late Registration in the mail. Bring it and use it as proof of residence.",,,,Google Translate web,
SOS_REG_019,"If you live in a residential facility, a staff person can go with you to the polling place to confirm your address.",,,,Google Translate web,
MDH_LTBI_001,"Your tests show that you have latent TB infection, or LTBI. The TB germs are in your body but are not hurting you now, and you cannot spread TB to others.",,,,Google Translate web,
