agency,domain,language,document,url
Minnesota Department of Education,Education,English,Statewide Assessments Parent/Guardian Guide,https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&Rendition=primary&RevisionSelectionMethod=latestReleased&dDocName=PROD098888
Minnesota Department of Education,Education,Amharic,Statewide Assessments Parent/Guardian Guide,https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&Rendition=primary&RevisionSelectionMethod=latestReleased&dDocName=PROD059231
Minnesota Department of Education,Education,Afaan Oromo,Statewide Assessments Parent/Guardian Guide,https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&Rendition=primary&RevisionSelectionMethod=latestReleased&dDocName=MDE060222
Minnesota Department of Education,Education,English,WIDA Alternate ACCESS,https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&Rendition=primary&RevisionSelectionMethod=latestReleased&dDocName=PROD081635
Minnesota Department of Education,Education,Amharic,WIDA Alternate ACCESS,https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&Rendition=primary&RevisionSelectionMethod=latestReleased&dDocName=prod082086
Minnesota Department of Education,Education,Afaan Oromo,WIDA Alternate ACCESS,https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&Rendition=primary&RevisionSelectionMethod=latestReleased&dDocName=prod082100
Minnesota Secretary of State,Civic/Elections,English,Who can vote?,https://www.sos.mn.gov/elections-voting/register-to-vote/who-can-vote
Minnesota Secretary of State,Civic/Elections,English,Register on Election Day,https://www.sos.mn.gov/elections-voting/register-to-vote/register-on-election-day
Minnesota Secretary of State,Civic/Elections,Amharic,Register to vote,https://www.sos.mn.gov/elections-voting/amharic/%E1%8B%B5%E1%88%9D%E1%8C%BD-%E1%88%88%E1%88%98%E1%88%B5%E1%8C%A0%E1%89%B5-%E1%8B%AD%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A1-register-to-vote/
Minnesota Secretary of State,Civic/Elections,Afaan Oromo,Register to vote,https://www.sos.mn.gov/elections-voting/oromo/sagalee-kennuudhaaf-galmaauu-register-to-vote/
Minnesota Department of Health,Health/TB,English,Treatment for Latent TB Infection,https://www.health.state.mn.us/diseases/tb/basics/factsheets/ltbi.html
Minnesota Department of Health,Health/TB,Amharic,Treatment for Latent TB Infection,https://www.health.state.mn.us/diseases/tb/basics/factsheets/ltbiamh.pdf
Minnesota Department of Health,Health/TB,Afaan Oromo,Treatment for Latent TB Infection,https://www.web.health.state.mn.us/diseases/tb/basics/factsheets/ltbioro.pdf
